ID,Testrail Link,Title,Automatability,Automation Assignee,Vendor Assignee,Automation Complexity,Automation Status,Capability,Complexity,Created On,Priority,Product,Status,Suite,Testing Phase,Testing Type,Test Type,Platform,Updated By,Updated On
C1138121,https://myntfintech.testrail.io/index.php?/cases/view/1138121,IS-ABO-WEB-1110[Bulk Adjustment] [13 COUNTRIES] USER to PARTNER. Check wallet movement,Automatable,Stratpoint,Stratpoint,High,,A+ Backoffice Portal (Buservice + GCBizadmin),High,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,4/29/2026 3:16 AM
C1138123,https://myntfintech.testrail.io/index.php?/cases/view/1138123,IS-ABO-WEB-1112[Bulk Adjustment] [13 COUNTRIES] PARTNER to USER. Check wallet movement,Automatable,Stratpoint,Stratpoint,High,,A+ Backoffice Portal (Buservice + GCBizadmin),High,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,4/29/2026 3:16 AM
C1138125,https://myntfintech.testrail.io/index.php?/cases/view/1138125,IS-ABO-WEB-1114[Bulk Adjustment - GI to GI] [13 COUNTRIES] USER to USER. Check wallet movement,Automatable,Stratpoint,Stratpoint,High,,A+ Backoffice Portal (Buservice + GCBizadmin),High,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,4/29/2026 3:16 AM
C1138127,https://myntfintech.testrail.io/index.php?/cases/view/1138127,IS-ABO-WEB-1116[Bulk Adjustment - GI to LOCAL] [13 COUNTRIES] USER to USER. Check wallet movement,Automatable,Stratpoint,Stratpoint,High,,A+ Backoffice Portal (Buservice + GCBizadmin),High,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,4/29/2026 3:16 AM
C1138173,https://myntfintech.testrail.io/index.php?/cases/view/1138173,IS-ABO-WEB-1141[BULK REFUND][Local] Verify if agent can Bulk Refund the Bills Payment Transaction of Local,Automatable,Stratpoint,Stratpoint,Medium,,A+ Backoffice Portal (Buservice + GCBizadmin),High,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,4/29/2026 3:16 AM
C1138175,https://myntfintech.testrail.io/index.php?/cases/view/1138175,IS-ABO-WEB-1143[BULK REFUND][Local] Verify if agent can Bulk Refund the Retail Payment Transaction of Local,Automatable,Stratpoint,Stratpoint,Medium,,A+ Backoffice Portal (Buservice + GCBizadmin),High,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,4/29/2026 3:16 AM
C1138181,https://myntfintech.testrail.io/index.php?/cases/view/1138181,IS-ABO-WEB-1149[Single REFUND][Local] Verify if agent can Single Refund the Retail Payment Transaction of Local,Automatable,Stratpoint,Stratpoint,Medium,,A+ Backoffice Portal (Buservice + GCBizadmin),High,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity
Pre-Test
Post-Test",web,web,web,QA Automation 6,4/29/2026 3:16 AM
C1138415,https://myntfintech.testrail.io/index.php?/cases/view/1138415,[IS-JAR-WEB-2873] [Multi-Profile Nomination][PARENT] Verify Parent's Newly Nominated mobtel should have Previous Mobile Number in Basic Information of the following pages:,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138416,https://myntfintech.testrail.io/index.php?/cases/view/1138416,"[IS-JAR-WEB-2874] [Multi-Profile Nomination][PARENT] Verify Parent's Newly Nominated mobtel should have Remarks on Mobtel Changes in Notes Tab of the following pages: QA View, QA Result, Tracking, CRP Management and Acct. Maintenance",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138417,https://myntfintech.testrail.io/index.php?/cases/view/1138417,[IS-JAR-WEB-2875] [Multi-Profile Nomination][Random Child] Verify Not Yet Nominated mobtel should have Previous Mobile Number in Basic Information of the following pages:,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138418,https://myntfintech.testrail.io/index.php?/cases/view/1138418,[IS-JAR-WEB-2876] [Multi-Profile Nomination][Random Child] Verify Not Yet Newly Nominated mobtel should have Remarks on Mobtel Changes in Notes Tab of the following pages:,Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
C1138420,https://myntfintech.testrail.io/index.php?/cases/view/1138420,"[IS-JAR-WEB-2878] [Multi-Profile Nomination][1st Child] Verify 1st Child's Newly Nominated mobtel should have Remarks on Mobtel Changes in Notes Tab of the following pages: QA View, QA Result, Tracking, CRP Man. and Account Main.",Automatable,MYNT,Mynt,Low,,Device Linking,Low,12/1/2025 5:01 AM,High,Operations/Internal Portals,New,TRIBE14 | GRCX,"BE Regression
BE Sanity",web,web,web,QA Automation 6,2/25/2026 6:58 AM
